ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
14500
ITEM: BOX BOUNDS pp pp pp
1.3756093480561304e-01 6.0120244640003577e+01
1.3756093480561304e-01 6.0120244640003577e+01
1.3756093480561304e-01 6.0120244640003577e+01
ITEM: ATOMS id type c_voro[1] c_voro[2]
1 1       8.1646137637       7.0000000000
2 1       7.2813743755      10.0000000000
3 1       7.1695709909       8.0000000000
4 1       7.8207375235       9.0000000000
5 1       6.9917120474      10.0000000000
6 1       7.9160557598       8.0000000000
7 1       7.5206559814       7.0000000000
8 1       7.2132946578      10.0000000000
9 1       7.7427972911       7.0000000000
10 1       7.1164344851       8.0000000000
11 1       7.1263003852      10.0000000000
12 1       7.2510144728       8.0000000000
13 1       7.2762382188      11.0000000000
14 1       7.4425363450      10.0000000000
15 1       7.4127262814      11.0000000000
16 1       7.8644817234       8.0000000000
17 1       6.6114395970       9.0000000000
18 1       7.0496696787       8.0000000000
19 1       7.3010324258       9.0000000000
20 1       7.6445118106      11.0000000000
21 1       7.2752199229       9.0000000000
22 1       7.2479847368       9.0000000000
23 1       7.3281068453       8.0000000000
24 1       7.7137402042      10.0000000000
25 1       6.8621961584       8.0000000000
26 1       7.6380419431      11.0000000000
27 1       8.0154449509      10.0000000000
28 1       7.6412200331       7.0000000000
29 1       7.0838096481      11.0000000000
30 1       7.5186121834       9.0000000000
31 1       7.3537929636       7.0000000000
32 1       7.6251346297       9.0000000000
33 1       7.1849042972       9.0000000000
34 1       8.0066227800       9.0000000000
35 1       7.1277415769       8.0000000000
36 1       7.7288750275       9.0000000000
37 1       7.3638382550       9.0000000000
38 1       7.1873227989       8.0000000000
39 1       7.9779126705       9.0000000000
40 1       7.6344252399       9.0000000000
41 1       7.3605230890       8.0000000000
42 1       7.8942710292      10.0000000000
43 1       6.9927729725       7.0000000000
44 1       7.3488778833       7.0000000000
45 1       7.3936377446       9.0000000000
46 1       7.1481646372       9.0000000000
47 1       7.0608285926      12.0000000000
48 1       7.6778807910       9.0000000000
49 1       7.1293646622       8.0000000000
50 1       7.4081152504       9.0000000000
51 1       7.1860127563       9.0000000000
52 1       7.5899366727       7.0000000000
53 1       7.4740724373      11.0000000000
54 1       7.1945739251       8.0000000000
55 1       7.2590157080       6.0000000000
56 1       7.3048372794      10.0000000000
57 1       7.5023260582       8.0000000000
58 1       7.5351059100       7.0000000000
59 1       6.7578749603       9.0000000000
60 1       7.4624984187      10.0000000000
61 1       7.6490557512      10.0000000000
62 1       7.7855497103      10.0000000000
63 1       7.5259064010       8.0000000000
64 1       6.7969982190       9.0000000000
65 1       7.3118866701      10.0000000000
66 1       7.0789983586       9.0000000000
67 1       7.1837127278       7.0000000000
68 1       7.0343800595       8.0000000000
69 1       7.2048342833       8.0000000000
70 1       7.3705316120       9.0000000000
71 1       7.9990092776       8.0000000000
72 1       7.5530293467      11.0000000000
73 1       7.1437308857      11.0000000000
74 1       7.8737224053       7.0000000000
75 1       7.6745455404      10.0000000000
76 1       6.7656454356       8.0000000000
77 1       7.0457762685       9.0000000000
78 1       7.6913448570      10.0000000000
79 1       6.9923015545       8.0000000000
80 1       6.6920274019      10.0000000000
81 1       7.0491190588       8.0000000000
82 1       7.5645393230      11.0000000000
83 1       6.8502773891       9.0000000000
84 1       7.7089372201       7.0000000000
85 1       8.0622487039      10.0000000000
86 1       6.9262005279       8.0000000000
87 1       7.4863146662       9.0000000000
88 1       7.5218123642       9.0000000000
89 1       7.3859949932       8.0000000000
90 1       7.3320496426      10.0000000000
91 1       7.3385185979      12.0000000000
92 1       7.5133506172       7.0000000000
