ITEM: TIMESTEP
0
ITEM: NUMBER OF ENTRIES
226542
ITEM: BOX BOUNDS pp pp pp
-7.7482197516811624e-02 5.8616608109214162e+01
-7.7482197516811624e-02 5.8616608109214162e+01
-7.7482197516811624e-02 5.8616608109214162e+01
ITEM: ENTRIES c_voro[1] c_voro[2] c_voro[3]
   4634.0000000000    4335.0000000000       1.8108470859 
   4634.0000000000    8001.0000000000       1.2728067202 
   4634.0000000000    9437.0000000000       2.0191302060 
   4634.0000000000    3877.0000000000       2.5009944707 
   4634.0000000000    2628.0000000000       5.6301336756 
   4634.0000000000   12423.0000000000       0.8312625011 
   4634.0000000000   11129.0000000000       1.6082788396 
   4634.0000000000    9303.0000000000       0.1947081595 
   4634.0000000000    2777.0000000000       6.8862401670 
   4634.0000000000      71.0000000000       0.0013780454 
   4634.0000000000    9688.0000000000       1.6309741278 
   4634.0000000000    5626.0000000000       2.9823589399 
   4634.0000000000    6681.0000000000       1.2860470046 
   4634.0000000000   11075.0000000000       3.4165459345 
   4634.0000000000   10016.0000000000       2.8718127410 
   4634.0000000000    3625.0000000000       0.0063704063 
   4634.0000000000     270.0000000000       0.4833523079 
   4634.0000000000    2744.0000000000       0.0222506823 
   4634.0000000000    7970.0000000000       0.7242097255 
   4634.0000000000    5356.0000000000       0.0658871693 
   4634.0000000000    4604.0000000000       0.0575059099 
   4634.0000000000    8041.0000000000       0.0777109090 
   5626.0000000000   12188.0000000000       1.5595179243 
   5626.0000000000    4806.0000000000       1.9632486018 
   5626.0000000000    3481.0000000000       5.7771497110 
   5626.0000000000    9480.0000000000       1.2813855131 
   5626.0000000000    3878.0000000000       2.0697983960 
   5626.0000000000     995.0000000000       0.2625315197 
   5626.0000000000    4602.0000000000       2.9196594758 
   5626.0000000000     560.0000000000       0.6686290284 
   5626.0000000000    8041.0000000000       1.7520951904 
   5626.0000000000    4335.0000000000       0.7726455564 
   5626.0000000000    4634.0000000000       2.9823589399 
   5626.0000000000    9437.0000000000       0.7436917003 
   5626.0000000000    6554.0000000000       1.2601575183 
   5626.0000000000    6681.0000000000       0.8304587333 
   5626.0000000000    2777.0000000000       5.7075520401 
   5626.0000000000    5356.0000000000       1.6693500062 
   5626.0000000000   11075.0000000000       0.0202025499 
   5626.0000000000   11129.0000000000       1.4179469837 
   5626.0000000000   10926.0000000000       0.8017866895 
   3481.0000000000   14236.0000000000       0.3425107527 
   3481.0000000000    3878.0000000000       6.4513394807 
   3481.0000000000    6554.0000000000       7.9260528132 
   3481.0000000000    4889.0000000000       0.1926978721 
   3481.0000000000    4806.0000000000       6.9685564910 
   3481.0000000000   10926.0000000000       0.1464640825 
   3481.0000000000    5626.0000000000       5.7771497110 
   3481.0000000000   12188.0000000000       0.7359674207 
   3878.0000000000   10178.0000000000       1.1263867376 
   3878.0000000000   10909.0000000000       2.6503282236 
