ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
15000
ITEM: BOX BOUNDS pp pp pp
2.7206660791551940e-01 5.9913471455226087e+01
2.7206660791551940e-01 5.9913471455226087e+01
2.7206660791551940e-01 5.9913471455226087e+01
ITEM: ATOMS id type c_voro[1] c_voro[2]
1 1       6.8723613526       9.0000000000
2 1       7.1261933048       9.0000000000
3 1       7.3151922824      12.0000000000
4 1       7.5158082873       9.0000000000
5 1       7.3363459886      10.0000000000
6 1       7.9183145388      11.0000000000
7 1       7.0510146693       9.0000000000
8 1       6.9956997128       8.0000000000
9 1       7.3329792169       9.0000000000
10 1       7.2190565646      10.0000000000
11 1       7.1303515355       9.0000000000
12 1       7.0814529494       9.0000000000
13 1       7.0301133879       9.0000000000
14 1       7.3768383531      10.0000000000
15 1       7.5007210415      10.0000000000
16 1       7.3083551539       9.0000000000
17 1       7.2827643876       8.0000000000
18 1       7.4035329707       9.0000000000
19 1       7.1472954772      11.0000000000
20 1       7.2377683912       9.0000000000
21 1       7.2667591819       9.0000000000
22 1       7.1937930179       9.0000000000
23 1       7.2422678412       9.0000000000
24 1       7.3739156886       8.0000000000
25 1       6.8937389684       8.0000000000
26 1       7.6188797768      11.0000000000
27 1       7.1605346188      11.0000000000
28 1       6.9798547339       8.0000000000
29 1       6.7470048032       9.0000000000
30 1       7.9128151648      10.0000000000
31 1       7.1977861831       8.0000000000
32 1       7.1941347496       9.0000000000
33 1       7.0985030092       7.0000000000
34 1       7.2524654230      10.0000000000
35 1       7.1832139400       9.0000000000
36 1       7.1369562926       7.0000000000
37 1       7.7504333047       8.0000000000
38 1       6.6885253304       9.0000000000
39 1       7.4541477906      10.0000000000
40 1       7.0766998816       8.0000000000
41 1       7.5812348853       9.0000000000
42 1       7.1716283522       9.0000000000
43 1       7.1399465818       9.0000000000
44 1       7.1645736343       8.0000000000
45 1       7.0852179643      11.0000000000
46 1       7.3455893322       8.0000000000
47 1       7.4988389633       8.0000000000
48 1       7.2782530991      11.0000000000
49 1       7.4390643940       8.0000000000
50 1       7.6073844566       9.0000000000
51 1       7.1442789507       7.0000000000
52 1       7.2908747277      11.0000000000
53 1       7.4896522433       9.0000000000
54 1       7.2213536468      10.0000000000
55 1       7.1704584039       8.0000000000
56 1       7.5906648397       8.0000000000
57 1       7.1564082094       9.0000000000
58 1       7.8794202467       9.0000000000
59 1       6.6353351846       8.0000000000
60 1       7.7147411532      10.0000000000
61 1       7.5720461689       9.0000000000
62 1       6.8273306368       7.0000000000
63 1       7.0184682652       8.0000000000
64 1       7.3260961876       7.0000000000
65 1       7.0758354300      11.0000000000
66 1       7.5051013729      12.0000000000
67 1       7.3763775077       9.0000000000
68 1       7.0785941853       8.0000000000
69 1       7.3885171024      12.0000000000
70 1       8.2899121861      11.0000000000
71 1       7.5661483556       9.0000000000
72 1       6.4773128816       8.0000000000
73 1       7.8986343791       8.0000000000
74 1       7.2607611812       9.0000000000
75 1       7.7499197596      10.0000000000
76 1       7.2334102758       9.0000000000
77 1       7.1473979954       9.0000000000
78 1       7.4517549977       8.0000000000
79 1       6.9050067905       9.0000000000
80 1       7.3810932122      12.0000000000
81 1       7.3065061479       9.0000000000
82 1       7.5214278291      10.0000000000
83 1       6.8880398425       7.0000000000
84 1       7.2165626951       7.0000000000
85 1       6.7653143045       7.0000000000
86 1       7.3893395193      11.0000000000
87 1       6.7720262475       9.0000000000
88 1       6.7588783612       6.0000000000
89 1       7.5306091482      10.0000000000
90 1       7.6993531352       8.0000000000
91 1       7.6052210339      10.0000000000
92 1       7.3239538001      10.0000000000
93 1       6.9832174720       9.0000000000
94 1       7.0955357475      11.0000000000
