ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
15000
ITEM: BOX BOUNDS pp pp pp
-1.3208038927497867e-01 5.9286715434465741e+01
-1.3208038927497867e-01 5.9286715434465741e+01
-1.3208038927497867e-01 5.9286715434465741e+01
ITEM: ATOMS id type c_voro[1] c_voro[2]
1 1       7.2013901108       9.0000000000
2 1       7.3350543456      10.0000000000
3 1       7.3775301179      13.0000000000
4 1       7.7723452893      11.0000000000
5 1       7.2073943841      10.0000000000
6 1       7.0119427404       9.0000000000
7 1       7.3437334560       8.0000000000
8 1       6.8578655857       9.0000000000
9 1       7.5543245460      10.0000000000
10 1       7.3034224931       9.0000000000
11 1       7.3878036494      10.0000000000
12 1       7.1106662987      12.0000000000
13 1       6.9833516258      10.0000000000
14 1       7.3678825168       7.0000000000
15 1       7.0983307489       9.0000000000
16 1       6.8433624821       8.0000000000
17 1       6.7736830542       9.0000000000
18 1       7.2557676969       9.0000000000
19 1       7.6842544460       9.0000000000
20 1       6.9923418470       8.0000000000
21 1       7.3065049502       9.0000000000
22 1       7.0058960656      10.0000000000
23 1       7.5413454939      11.0000000000
24 1       8.0176808450      10.0000000000
25 1       7.3025496189       7.0000000000
26 1       7.4325373852      10.0000000000
27 1       7.6137464740      10.0000000000
28 1       7.3402901345      10.0000000000
29 1       7.2362315546       8.0000000000
30 1       7.2598294395      11.0000000000
31 1       7.2152846822      10.0000000000
32 1       7.3583482465       9.0000000000
33 1       7.2025292094       8.0000000000
34 1       6.9176900480       9.0000000000
35 1       7.6054569578      11.0000000000
36 1       7.0878144863      10.0000000000
37 1       7.3046377370      12.0000000000
38 1       7.3225659008       9.0000000000
39 1       7.0806284369      12.0000000000
40 1       6.9441459059       9.0000000000
41 1       7.3476069435      10.0000000000
42 1       7.5617102699       9.0000000000
43 1       7.0988665674      10.0000000000
44 1       7.0706770314       9.0000000000
45 1       7.5875859283      10.0000000000
46 1       6.7800314591       8.0000000000
47 1       7.5520864013      11.0000000000
48 1       7.4979091463       9.0000000000
49 1       7.5140477455       7.0000000000
50 1       7.1469505536       7.0000000000
51 1       6.9308095798       7.0000000000
52 1       7.2543728019       9.0000000000
