ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
14500
ITEM: BOX BOUNDS pp pp pp
-2.7969006120830642e-02 5.8567094917819219e+01
-2.7969006120830642e-02 5.8567094917819219e+01
-2.7969006120830642e-02 5.8567094917819219e+01
ITEM: ATOMS id type c_voro[1] c_voro[2]
1 1       7.5291894913       7.0000000000
2 1       7.6336719336      10.0000000000
3 1       7.2909483250       9.0000000000
4 1       7.4278680012      10.0000000000
5 1       7.2825973868       8.0000000000
6 1       7.9783350791       8.0000000000
7 1       7.1866504164      10.0000000000
8 1       6.8661263841      10.0000000000
9 1       7.1841850455       8.0000000000
10 1       7.7717964313       7.0000000000
11 1       7.2687084973       9.0000000000
12 1       7.3112221061      10.0000000000
13 1       7.4626453329      10.0000000000
14 1       7.5645412823      10.0000000000
15 1       7.2931630679       9.0000000000
16 1       7.5206393763       9.0000000000
17 1       7.0804751910      10.0000000000
18 1       7.1837096211       7.0000000000
19 1       7.6173377871      11.0000000000
20 1       7.0138438851       9.0000000000
21 1       6.6506505344       7.0000000000
22 1       7.3565944604      12.0000000000
23 1       7.2701721829       9.0000000000
24 1       6.9532890696       9.0000000000
25 1       7.5714721602       8.0000000000
26 1       7.2760037476       9.0000000000
27 1       7.9843342050      11.0000000000
28 1       7.3398603100       9.0000000000
29 1       8.3341712231      11.0000000000
30 1       7.4844680329       8.0000000000
31 1       7.6320910561      10.0000000000
32 1       6.9158355248      10.0000000000
33 1       7.9184958298       9.0000000000
34 1       7.4378967345      11.0000000000
35 1       7.3179083368       9.0000000000
36 1       7.4079543734      10.0000000000
37 1       7.8928223294      11.0000000000
38 1       7.1985881872       8.0000000000
39 1       6.9964640908       9.0000000000
40 1       7.8505803787      10.0000000000
41 1       6.8629736193       9.0000000000
42 1       6.8965793480      10.0000000000
43 1       7.2481970853       7.0000000000
44 1       7.3937582262       8.0000000000
45 1       7.5411722940       9.0000000000
46 1       7.1869720559      12.0000000000
47 1       7.4685548075       9.0000000000
48 1       6.7309565017       9.0000000000
49 1       7.6522759947       9.0000000000
50 1       7.0940406439       8.0000000000
51 1       7.1495272919      10.0000000000
52 1       7.1149509451      11.0000000000
53 1       6.5971652912       9.0000000000
54 1       7.9370087946       9.0000000000
55 1       7.7068332757       8.0000000000
56 1       7.2872274252      10.0000000000
57 1       7.2331775194       8.0000000000
58 1       7.2023416381       7.0000000000
59 1       7.4509214169      10.0000000000
60 1       7.0805473988       9.0000000000
61 1       6.9471189585       7.0000000000
62 1       7.4322050730      10.0000000000
63 1       7.3282513551      10.0000000000
64 1       6.7622405288       7.0000000000
65 1       7.4511311197      11.0000000000
66 1       7.9401278574      10.0000000000
67 1       7.6542386767       8.0000000000
68 1       7.7022386930      12.0000000000
69 1       7.4420711725      10.0000000000
70 1       6.8293362883       8.0000000000
71 1       7.1682581907      10.0000000000
72 1       7.2307076255      10.0000000000
73 1       7.1110233246       9.0000000000
74 1       7.1682815831       7.0000000000
75 1       8.0314738287       9.0000000000
76 1       7.4547038242      10.0000000000
77 1       7.5133721422      11.0000000000
78 1       7.5168357017      10.0000000000
79 1       6.9658117942       9.0000000000
80 1       6.9062409093       8.0000000000
81 1       7.6306093390       8.0000000000
82 1       7.4767850804      10.0000000000
83 1       7.1487358917       8.0000000000
84 1       6.9736829996      11.0000000000
85 1       7.1472643412       9.0000000000
86 1       7.0605465449       8.0000000000
87 1       7.2433119612      10.0000000000
88 1       7.5695973969       9.0000000000
89 1       7.0678923824       8.0000000000
90 1       7.5450847585       8.0000000000
91 1       7.5135568385       9.0000000000
92 1       7.0235102001       8.0000000000
93 1       7.0234634983       8.0000000000
94 1       7.1532377646       9.0000000000
95 1       7.2745056799      10.0000000000
96 1       7.1013108802       8.0000000000
97 1       7.5339727603      11.0000000000
98 1       7.4347412146       8.0000000000
99 1       7.8472560282      13.0000000000
100 1       7.1892604370       9.0000000000
101 1       7.3044780716      10.0000000000
102 1       7.8688298282       7.0000000000
103 1       6.9929786296      10.0000000000
104 1       7.1652470576      11.0000000000
105 1       7.4930772989       8.0000000000
106 1       7.1228483554       7.0000000000
107 1       6.9333059865       8.0000000000
108 1       7.3714865103      12.0000000000
109 1       7.4316337307      10.0000000000
110 1       7.2276248289       9.0000000000
111 1       7.4703773691      11.0000000000
112 1       7.7535659997       9.0000000000
113 1       7.1456583692      11.0000000000
114 1       7.8118389777      10.0000000000
115 1       7.7542763287      10.0000000000
116 1       7.5758257422       8.0000000000
117 1       7.4489803448      10.0000000000
118 1       7.6673085601      10.0000000000
119 1       7.2230645962       8.0000000000
120 1       7.0388589206       9.0000000000
121 1       6.9671858651      10.0000000000
122 1       8.0469058672      11.0000000000
123 1       7.2727134687       9.0000000000
124 1       7.6308338111      13.0000000000
125 1       7.2012329417       9.0000000000
126 1       6.8355487834       8.0000000000
127 1       6.8652098427       9.0000000000
128 1       7.5350460179      10.0000000000
129 1       7.5538244734      10.0000000000
130 1       7.3996686927       9.0000000000
131 1       7.1168227409       9.0000000000
132 1       6.9243672835       7.0000000000
133 1       7.7538321999      12.0000000000
134 1       7.8959989743      11.0000000000
135 1       7.4059198122       8.0000000000
136 1       7.5642552263       8.0000000000
137 1       7.6071254999       9.0000000000
138 1       7.3476430899       7.0000000000
139 1       7.2211673714      10.0000000000
140 1       7.8578097892       9.0000000000
141 1       7.4920472552      10.0000000000
142 1       6.9222250998       9.0000000000
143 1       7.5046362186       7.0000000000
144 1       7.0826390014      10.0000000000
145 1       6.7961992244       9.0000000000
146 1       7.5798750717      11.0000000000
147 1       6.8703864569      10.0000000000
148 1       6.6590130552       8.0000000000
149 1       7.3131510362      11.0000000000
150 1       7.6068643630       9.0000000000
151 1       7.6487571919      11.0000000000
152 1       7.5523621304       8.0000000000
153 1       7.5714294858      11.0000000000
154 1       6.9497607758      10.0000000000
155 1       7.4319762164      11.0000000000
156 1       7.1988102697      10.0000000000
157 1       7.2170037338       9.0000000000
158 1       7.1240898593       7.0000000000
159 1       6.9786418159      10.0000000000
160 1       7.8898500738      12.0000000000
161 1       8.0555717058       6.0000000000
162 1       7.3235285564       8.0000000000
163 1       7.8998610100       8.0000000000
164 1       7.4896736645       8.0000000000
165 1       7.3802873129       9.0000000000
166 1       7.3587353819       9.0000000000
167 1       7.0793419673       9.0000000000
168 1       7.4283477184      10.0000000000
169 1       6.9784764539       9.0000000000
170 1       6.9066281360       8.0000000000
171 1       7.3388192619      12.0000000000
172 1       7.5165989124      10.0000000000
173 1       7.5867124054      11.0000000000
174 1       7.1294660934      11.0000000000
175 1       7.6012142750      10.0000000000
176 1       7.7687928183      12.0000000000
177 1       7.3570073918       8.0000000000
178 1       7.5853571480       7.0000000000
179 1       6.9556595542      11.0000000000
180 1       7.3297260819      10.0000000000
181 1       7.0747568108      11.0000000000
182 1       7.3770377719       9.0000000000
