LAMMPS data file via write_data, version 29 Aug 2024, timestep = 1450350, units = metal

20300 atoms
5 atom types

0.13808228332239594 65.34800555102963 xlo xhi
0.13808228332239594 65.34800555102963 ylo yhi
0.13808228332239594 65.34800555102963 zlo zhi

Masses

1 28.086
2 15.9994
3 40.078
4 22.99
5 39.1

Atoms # charge

2600 1 2.4 5.300818432363403 2.4711256174262957 3.904040028443801 0 0 1
8345 2 -1.2 5.302320122025518 2.968561504748145 2.4275322394567986 0 1 0
2092 1 2.4 4.6726326070962365 4.385351482526133 1.8841293494784048 0 0 1
10366 2 -1.2 3.7580334039415053 2.2205488420550448 4.4237893975653595 0 0 0
8589 2 -1.2 5.746334370797508 5.464516799094647 2.5343954906503012 0 1 0
4875 1 2.4 5.860530532816873 7.078729451597172 2.658590403408326 1 1 0
13587 2 -1.2 1.3831436950115397 3.8552620852645716 0.9148121667060312 1 0 0
97 1 2.4 3.0243251406035774 1.8948815501485852 5.950320189323452 0 0 0
14849 2 -1.2 3.196497952933923 4.6535231667549875 2.5186066007034364 1 0 0
5341 2 -1.2 1.5973447332567607 1.3769615253871987 5.423911386130242 0 0 0
4843 1 2.4 0.9860809182421996 1.6738312588572437 3.918289538207538 1 1 0
16643 2 -1.2 1.1195888313234044 3.2599809314039785 3.5956286774353803 1 1 0
13492 2 -1.2 2.7722685760706485 3.3566715940813228 6.775703576046048 1 0 0
10295 2 -1.2 6.158928335043706 1.172243365094877 3.9449474302764185 0 0 1
17487 2 -1.2 3.9735873675962736 1.0214599428057405 6.760161322728948 1 1 1
540 1 2.4 1.5706834762065518 4.359883412500524 2.414367111099724 0 0 0
17109 2 -1.2 5.803174042569523 3.700932259756138 4.953408241832424 1 1 1
13631 2 -1.2 5.191276255122097 7.7558213669139215 1.2136329390142802 1 0 0
7119 2 -1.2 0.7720174817164688 5.695231023609327 2.616349854608709 0 0 1
10576 2 -1.2 5.11034046793869 7.588043996695069 3.9380014095879017 1 0 0
20111 4 0.6 3.9496422655395307 5.165875271185022 5.546877000765057 2 0 1
14200 2 -1.2 1.7531905137919108 0.6693568714124644 2.903139128374007 1 0 1
3480 1 2.4 7.1848756880247935 5.97434312583743 7.872117300025567 1 0 0
17648 3 1.2 0.35430588848634825 7.738932486371883 1.4654682342450864 1 0 1
8482 2 -1.2 7.233422127083113 7.623880062433965 7.853651459248147 0 1 0
443 1 2.4 2.9462404784360485 7.941140599847009 7.6557263069034 0 0 0
6134 2 -1.2 3.34689042088278 6.329818738680114 7.96137507897317 0 0 1
13782 2 -1.2 2.925008020652302 1.8578336684393673 0.38292563046320244 1 0 0
19542 4 0.6 2.1741332225275025 7.956952149692469 3.898300963577026 -1 0 1
5554 2 -1.2 7.330672159331055 5.53692563900354 6.247684618319676 0 0 0
8665 2 -1.2 2.323772333139836 8.134226471634195 6.289824521174168 0 1 0
7264 2 -1.2 12.805093909553372 7.728005757293446 15.940453551296734 0 0 1
17729 3 1.2 7.502966784935717 7.648392624268142 5.189204312823915 0 1 1
13501 2 -1.2 5.729258359963367 5.305627266347821 8.19452142716093 1 0 0
16907 2 -1.2 1.5369896072890474 6.2137941280844275 16.124045924172357 1 1 0
13640 2 -1.2 4.741895306069874 4.513026198407108 0.18752717194756635 1 0 0
1461 1 2.4 7.2625723186032864 4.05231960248062 5.619218983154078 0 1 0
6254 2 -1.2 7.437138964671157 7.366097197838804 2.8325757851586735 0 0 1
12315 2 -1.2 7.48509788917013 3.0576181778663427 6.9553831069156 0 1 1
17598 3 1.2 10.6288945968911 2.7462028276269965 4.848007650499185 0 1 -1
353 1 2.4 8.350384184784858 1.6930585568922618 7.436026269887562 0 0 1
5870 2 -1.2 12.525885934225034 7.016706525810095 2.9474979036565956 0 0 1
15705 2 -1.2 8.385152861143997 3.779204085800511 4.543586796006635 1 1 0
191 1 2.4 12.662968457249479 5.94171586591922 4.291708849506148 0 0 0
7337 2 -1.2 12.427196871128784 6.686465259704138 5.704505074068949 0 1 0
1324 1 2.4 11.680073341027544 7.186280597985427 1.7039860543631966 0 1 0
6349 2 -1.2 11.699903163413577 4.754596043301097 4.088267964542313 0 0 0
16778 2 -1.2 9.551717270020866 1.3875135157178464 6.447069964493859 1 1 0
9523 2 -1.2 11.012550258472587 5.316682354019472 7.451912474146636 0 0 0
16838 2 -1.2 10.139609208297868 1.2715359309921093 3.1535330580364898 1 1 0
913 1 2.4 8.62544116330813 7.1205796319630545 1.721585816717782 0 1 0
16921 2 -1.2 10.092088300430877 7.563455268245571 2.1894071185593993 1 1 0
6643 2 -1.2 13.537997993381143 4.776266188459805 7.900287212317576 0 0 0
18592 4 0.6 8.555347666799177 2.9750547650456505 2.436333544735108 0 1 -1
5290 2 -1.2 11.544375434399587 5.748924880139853 0.8360804623783391 0 0 0
18416 4 0.6 13.406166368515159 3.1716592124551424 3.9525039987385333 -1 1 1
13393 2 -1.2 11.330225032121875 0.9284821447135158 0.8653947616458313 0 1 1
16390 2 -1.2 14.240704659828424 5.363370011137921 4.07668414890562 1 1 1
14626 2 -1.2 8.868222355102438 5.566364547021315 1.1484273920093304 1 0 0
16282 2 -1.2 12.928220953020869 1.9684920772982297 5.42700384829716 1 0 1
426 1 2.4 13.853601064188123 1.0025127354538508 6.297159368164354 0 0 1
10175 2 -1.2 9.743366910016123 7.3201988793633745 5.913608079686655 0 0 1
1727 1 2.4 10.97474883777738 6.75822709982936 6.644108912860246 0 1 1
5269 2 -1.2 10.972898889647384 8.029272654460556 7.920512064909986 0 0 0
12590 2 -1.2 14.054634938516264 2.506044707174109 1.9953137731350097 0 1 0
926 1 2.4 10.833920735953027 0.25306680018902716 2.341710443577256 0 1 0
5439 2 -1.2 10.380079058124926 3.2840802784989354 0.44426287115805063 0 0 0
18685 4 0.6 12.71100387569866 3.3090414806952926 0.43150868938478654 0 1 1
8878 2 -1.2 7.415490224921257 0.31979955962349604 7.54563489515286 0 1 1
19975 4 0.6 13.969177032380154 8.189404862754108 7.175679519932041 1 2 0
9447 2 -1.2 19.68689750620098 8.587567585055375 0.1933637289260494 0 0 0
10062 2 -1.2 15.87422289825304 1.665055228346744 0.2533732743106977 0 0 1
10277 2 -1.2 14.717825400194016 5.591568685420227 1.4948165574748142 0 0 1
1339 1 2.4 15.178150742131065 1.5653432331236679 1.7559351251359403 0 1 0
5333 2 -1.2 15.073769887052602 1.7536479477490368 7.168318425490251 0 0 0
1311 1 2.4 19.46295276429963 1.0889869226630442 1.1727009974544171 0 0 1
422 1 2.4 15.322936207885718 5.697589525375611 2.939124041713425 0 0 1
400 1 2.4 16.99927919371143 3.2377534244766344 3.708091771077818 0 0 1
7932 2 -1.2 16.59046251120298 4.605201899387284 2.9183578056342268 0 1 1
10231 2 -1.2 16.007399320934184 7.11406363389833 3.3262259264696104 0 0 1
3046 1 2.4 16.12387096719459 2.923025963311634 6.672045668041142 0 1 0
9650 2 -1.2 15.96241112181832 2.9776200159601256 4.9637042068852555 0 0 0
9941 2 -1.2 20.01856886278015 1.4835684771017337 5.445033368225628 0 0 0
16980 2 -1.2 16.48647619705184 1.9065516119984625 2.807356615500964 1 1 0
3125 1 2.4 19.84162167641769 2.0743896600639595 3.9499683230763387 0 1 0
2175 1 2.4 18.61425836781636 1.3360860517129938 6.407895092518578 0 0 1
10509 2 -1.2 18.576719595978638 3.111857024251781 3.9968529866844387 0 0 0
9167 2 -1.2 21.326139186669266 2.7293309392502167 3.6074606377278315 0 1 1
16520 2 -1.2 17.752313920615794 2.6324990889667514 6.734104551961778 1 1 0
6007 2 -1.2 20.62253340661217 6.226715908152857 6.323436030385621 0 0 1
10575 2 -1.2 19.572456988196656 0.9862150034620022 2.8551061926778054 0 0 0
10504 2 -1.2 16.014072833332666 4.314412739467824 7.346453532068976 0 0 0
11352 2 -1.2 18.583067656786138 7.641077121414641 3.496998886309113 0 1 1
